Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
5483,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,No,Disagree,Agree,Agree,Neutral,Watershed Protection,I am not aware of any retention programs offered by my department.
5484,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,No,No,Strongly Agree,Agree,Neutral,Disagree,Transportation and Public Works,I am not eligible for my department's retention program.
5485,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Neutral,Agree,Agree,Austin Energy,I am not eligible for my department's retention program.
5486,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Likely,Neutral,Neutral,3 months to 6 months ago,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,No,Neutral,Disagree,Neutral,Neutral,Capital Delivery Services,
5487,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
5488,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,No,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Austin Energy,I am not aware of any retention programs offered by my department.
5489,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Yes,No,Strongly Agree,Neutral,Agree,Neutral,Austin/Travis County Emergency Medical Services,
5490,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,I am not aware of any retention programs offered by my department.
5491,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Neutral,Neutral,Within the past 3 months,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Neutral,Strongly Agree,Strongly Agree,Transportation and Public Works,Yes
5492,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Within the past 3 months,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Yes,Yes,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Human Resources,
5493,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Not Important At All,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Law Department,
5494,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,Yes,Agree,Neutral,Neutral,Agree,I Prefer Not to Disclose,
5495,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Unlikely,Unlikely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Public Health,I am not aware of any retention programs offered by my department.
5496,More than 15 years,"Yes, I have transferred between City departments.",Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,Of Little Importance,Not Important At All,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,No,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Agree,Agree,Capital Delivery Services,
5497,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
5498,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Neutral,3 months to 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Yes,Yes,Neutral,Agree,Strongly Agree,Strongly Agree,Law Department,
5499,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,No,No,Agree,Strongly Agree,Agree,Agree,Law Department,
5500,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Very Important,Yes,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Watershed Protection,I am not aware of any retention programs offered by my department.
5501,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Police Department,
